Specialty,Score Type,Total Questions,Difficulty,qwen2.5-14b-cpu,qwen3-8b-cpu,gemma3-12b-cpu,phi4-latest-cpu,phi4-14b-cpu,qwen2.5-7b-cpu,hf.co_mradermacher_MiniCPM4-8B-GGUF-latest-cpu,notus-latest-cpu,qwen2.5-1.5b-cpu,gemma2-9b-cpu,zephyr-7b-cpu,Elixpo_LlamaMedicine-latest-cpu,qwen2.5-3b-cpu,llama3.1-8b-cpu,mistral-nemo-12b-cpu,qwen2-7b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,dolphin3-latest-cpu,qwen-4b-cpu,hf.co_mradermacher_JSL-MedMNX-7B-GGUF-latest-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,qwen3-4b-cpu,qwen3-1.7b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,llama-pro-latest-cpu,hf.co_mradermacher_JSL-MedLlama-3-8B-v9-GGUF-latest-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen2.5-0.5b-cpu,deepseek-r1-8b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,hf.co_mradermacher_DeepSeek-R1-Health-Risk-COT3-GGUF-latest-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,orca-mini-3b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_mradermacher_Qwen3_4B_healthcare_exercise_model-i1-GGUF-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,hf.co_mradermacher_medgemma-4b-pt-GGUF-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu,hf.co_mradermacher_JSL-Med-Phi-3.5-Mini-v3-GGUF-latest-cpu
All Specialties,General,1758,All,83.7%,82.1%,79.9%,74.5%,73.9%,72.7%,72.4%,72.0%,71.6%,70.7%,70.4%,69.5%,69.0%,68.6%,68.5%,67.9%,67.4%,67.3%,67.0%,66.6%,66.4%,66.3%,65.9%,65.1%,64.4%,64.2%,64.0%,63.7%,62.8%,62.7%,62.4%,62.4%,62.4%,62.2%,62.2%,62.1%,61.7%,61.6%,60.9%,60.8%,60.6%,60.2%,59.4%,58.7%,58.1%,56.1%,55.9%,55.6%,51.2%,50.5%,50.4%,50.2%,50.0%,49.9%,49.2%,48.9%,48.8%,48.4%,47.4%,46.4%,46.3%,45.9%,45.4%,45.3%,45.1%,44.4%,44.3%,42.8%,40.3%,37.4%,35.2%,33.0%,32.6%,31.5%,31.5%,31.2%,29.7%,27.4%,26.9%,25.4%,25.4%,25.1%,25.0%,23.9%,16.9%,14.9%,13.9%,11.1%,7.4%,5.9%,5.2%,4.5%,0.1%
All Specialties,Vital,735,All,84.1%,71.6%,70.7%,57.3%,56.8%,59.9%,57.8%,74.3%,74.5%,51.6%,65.7%,50.6%,81.1%,49.4%,51.5%,48.2%,49.2%,54.4%,48.4%,55.7%,48.0%,60.5%,44.8%,43.5%,67.4%,40.1%,43.0%,57.6%,38.9%,36.2%,38.7%,42.0%,36.7%,36.3%,56.2%,50.2%,52.5%,38.4%,63.3%,40.8%,42.3%,41.3%,62.8%,57.6%,42.0%,52.2%,38.2%,29.8%,18.6%,16.9%,35.1%,16.4%,46.6%,63.2%,31.0%,40.5%,25.0%,48.9%,48.6%,38.9%,29.5%,37.6%,28.9%,22.9%,58.5%,23.8%,45.7%,16.7%,17.7%,49.1%,22.2%,46.8%,28.1%,29.0%,27.6%,15.8%,17.4%,21.5%,15.3%,28.6%,28.6%,22.0%,23.8%,15.5%,15.5%,8.4%,11.9%,8.1%,8.1%,3.3%,5.3%,3.6%,0.3%
Cardiology,General,29,All,89.1%,60.0%,90.0%,70.0%,66.7%,70.0%,65.5%,0.0%,66.7%,70.0%,0.0%,63.3%,66.7%,66.7%,63.3%,73.3%,73.3%,70.0%,70.0%,60.0%,60.0%,0.0%,66.7%,63.3%,0.0%,63.3%,60.0%,0.0%,60.0%,66.7%,66.7%,63.3%,56.7%,63.3%,0.0%,55.2%,53.3%,66.7%,0.0%,50.0%,66.7%,53.3%,0.0%,0.0%,50.0%,41.4%,46.7%,56.7%,50.0%,53.3%,60.0%,50.0%,46.7%,56.7%,43.3%,0.0%,50.0%,40.0%,0.0%,63.3%,37.9%,0.0%,43.3%,33.3%,30.0%,40.0%,0.0%,46.7%,50.0%,36.7%,56.7%,26.7%,0.0%,0.0%,0.0%,10.0%,33.3%,46.7%,20.7%,16.7%,16.7%,0.0%,0.0%,20.0%,16.7%,17.2%,0.0%,6.7%,0.0%,10.3%,70.0%,10.0%,0.0%
Cardiology,Vital,20,All,89.7%,42.9%,85.7%,57.1%,57.1%,71.4%,55.0%,0.0%,71.4%,57.1%,0.0%,52.4%,66.7%,52.4%,47.6%,61.9%,61.9%,61.9%,57.1%,57.1%,47.6%,0.0%,52.4%,52.4%,0.0%,47.6%,52.4%,0.0%,47.6%,57.1%,57.1%,52.4%,47.6%,47.6%,0.0%,60.0%,42.9%,52.4%,0.0%,38.1%,52.4%,38.1%,0.0%,0.0%,47.6%,40.0%,42.9%,47.6%,38.1%,42.9%,52.4%,38.1%,38.1%,61.9%,42.9%,0.0%,42.9%,47.6%,0.0%,47.6%,30.0%,0.0%,33.3%,23.8%,38.1%,33.3%,0.0%,38.1%,33.3%,38.1%,38.1%,28.6%,0.0%,0.0%,0.0%,4.8%,28.6%,38.1%,30.0%,9.5%,9.5%,0.0%,0.0%,19.0%,19.0%,25.0%,0.0%,4.8%,0.0%,10.0%,57.1%,9.5%,0.0%
Cardiology,General,20,Easy,86.5%,85.7%,100.0%,100.0%,95.2%,76.2%,90.0%,0.0%,57.1%,100.0%,0.0%,85.7%,66.7%,95.2%,90.5%,100.0%,100.0%,85.7%,100.0%,71.4%,85.7%,0.0%,95.2%,85.7%,0.0%,90.5%,81.0%,0.0%,81.0%,95.2%,81.0%,85.7%,81.0%,90.5%,0.0%,70.0%,76.2%,95.2%,0.0%,71.4%,95.2%,76.2%,0.0%,0.0%,71.4%,45.0%,57.1%,71.4%,71.4%,71.4%,81.0%,71.4%,61.9%,52.4%,61.9%,0.0%,66.7%,33.3%,0.0%,90.5%,55.0%,0.0%,61.9%,42.9%,28.6%,52.4%,0.0%,66.7%,71.4%,52.4%,81.0%,23.8%,0.0%,0.0%,0.0%,14.3%,42.9%,57.1%,30.0%,23.8%,23.8%,0.0%,0.0%,28.6%,14.3%,20.0%,0.0%,9.5%,0.0%,10.0%,100.0%,9.5%,0.0%
Cardiology,Vital,11,Easy,85.0%,75.0%,100.0%,100.0%,100.0%,83.3%,90.9%,0.0%,58.3%,100.0%,0.0%,83.3%,66.7%,91.7%,83.3%,100.0%,100.0%,83.3%,100.0%,75.0%,83.3%,0.0%,91.7%,83.3%,0.0%,83.3%,83.3%,0.0%,75.0%,100.0%,75.0%,83.3%,83.3%,83.3%,0.0%,90.9%,75.0%,91.7%,0.0%,66.7%,91.7%,66.7%,0.0%,0.0%,83.3%,45.5%,58.3%,66.7%,66.7%,66.7%,83.3%,66.7%,58.3%,58.3%,75.0%,0.0%,66.7%,41.7%,0.0%,83.3%,54.5%,0.0%,58.3%,33.3%,41.7%,50.0%,0.0%,66.7%,58.3%,66.7%,66.7%,25.0%,0.0%,0.0%,0.0%,8.3%,41.7%,50.0%,54.5%,16.7%,16.7%,0.0%,0.0%,33.3%,16.7%,36.4%,0.0%,8.3%,0.0%,9.1%,100.0%,8.3%,0.0%
Cardiology,General,9,Mid,100.0%,0.0%,66.7%,0.0%,0.0%,55.6%,11.1%,0.0%,88.9%,0.0%,0.0%,11.1%,66.7%,0.0%,0.0%,11.1%,11.1%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,33.3%,11.1%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,22.2%,22.2%,0.0%,11.1%,11.1%,0.0%,11.1%,66.7%,0.0%,0.0%,11.1%,55.6%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,11.1%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,11.1%,0.0%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%
Cardiology,Vital,9,Mid,100.0%,0.0%,66.7%,0.0%,0.0%,55.6%,11.1%,0.0%,88.9%,0.0%,0.0%,11.1%,66.7%,0.0%,0.0%,11.1%,11.1%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,33.3%,11.1%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,22.2%,22.2%,0.0%,11.1%,11.1%,0.0%,11.1%,66.7%,0.0%,0.0%,11.1%,55.6%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,11.1%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,11.1%,0.0%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%
Dermatology,General,29,All,93.9%,88.9%,96.6%,65.5%,65.5%,96.6%,75.9%,0.0%,89.7%,69.0%,0.0%,65.5%,72.4%,69.0%,82.8%,72.4%,69.0%,79.3%,69.0%,79.3%,82.8%,0.0%,82.8%,79.3%,0.0%,72.4%,86.2%,0.0%,72.4%,75.9%,69.0%,72.4%,65.5%,72.4%,0.0%,62.1%,72.4%,69.0%,0.0%,72.4%,65.5%,69.0%,0.0%,0.0%,65.5%,65.5%,65.5%,62.1%,55.2%,55.2%,69.0%,55.2%,55.2%,41.4%,65.5%,0.0%,55.2%,62.1%,0.0%,62.1%,58.6%,0.0%,51.7%,37.9%,51.7%,41.4%,0.0%,44.8%,37.9%,17.2%,31.0%,20.7%,0.0%,0.0%,0.0%,41.4%,34.5%,31.0%,31.0%,17.2%,17.2%,0.0%,0.0%,24.1%,24.1%,17.2%,0.0%,6.9%,0.0%,10.3%,0.0%,3.4%,0.0%
Dermatology,Vital,13,All,94.1%,61.5%,92.3%,23.1%,23.1%,92.3%,46.2%,0.0%,92.3%,30.8%,0.0%,23.1%,84.6%,30.8%,61.5%,38.5%,30.8%,61.5%,38.5%,61.5%,61.5%,0.0%,61.5%,53.8%,0.0%,38.5%,69.2%,0.0%,38.5%,46.2%,30.8%,38.5%,23.1%,38.5%,0.0%,30.8%,46.2%,30.8%,0.0%,38.5%,23.1%,30.8%,0.0%,0.0%,30.8%,46.2%,38.5%,23.1%,0.0%,0.0%,38.5%,0.0%,23.1%,61.5%,23.1%,0.0%,15.4%,61.5%,0.0%,30.8%,30.8%,0.0%,15.4%,0.0%,92.3%,7.7%,0.0%,0.0%,0.0%,30.8%,7.7%,30.8%,0.0%,0.0%,0.0%,7.7%,0.0%,30.8%,15.4%,23.1%,23.1%,0.0%,0.0%,7.7%,23.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.7%,0.0%
