Model 1,Model 2,Similarity (%)
dolphin-mistral-7b-cpu,gemma3-1b-cpu,100.0
dolphin-mistral-7b-cpu,phi-latest-cpu,100.0
mistral-openorca-latest-cpu,phi-latest-cpu,100.0
phi3.5-3.8b-cpu,phi-latest-cpu,100.0
phi3-3.8b-cpu,phi-latest-cpu,100.0
gemma2-2b-cpu,phi-latest-cpu,100.0
llama-pro-latest-cpu,phi-latest-cpu,100.0
zephyr-7b-cpu,gemma3-1b-cpu,100.0
zephyr-7b-cpu,phi-latest-cpu,100.0
xwinlm-latest-cpu,phi-latest-cpu,100.0
glm4-9b-cpu,phi-latest-cpu,100.0
qwen2.5-14b-cpu,phi-latest-cpu,100.0
thewindmom_llama3-med42-8b-latest-cpu,phi-latest-cpu,100.0
Elixpo_LlamaMedicine-latest-cpu,gemma2-9b-cpu,100.0
Elixpo_LlamaMedicine-latest-cpu,phi-latest-cpu,100.0
Elixpo_LlamaMedicine-latest-cpu,gemma3-12b-cpu,100.0
Elixpo_LlamaMedicine-latest-cpu,deepseek-r1-8b-cpu,100.0
Elixpo_LlamaMedicine-latest-cpu,qwen3-0.6b-cpu,100.0
gemma3-1b-cpu,llama2-7b-cpu,100.0
gemma3-1b-cpu,dolphin3-8b-cpu,100.0
gemma3-1b-cpu,smollm2-360m-cpu,100.0
gemma3-1b-cpu,llama3-chatqa-8b-cpu,100.0
gemma3-1b-cpu,phi-latest-cpu,100.0
gemma3-1b-cpu,orca-mini-3b-cpu,100.0
gemma3-1b-cpu,llama2-latest-cpu,100.0
gemma3-1b-cpu,mdubu_saaam_is_a_doctor-latest-cpu,100.0
gemma3-1b-cpu,dolphin3-latest-cpu,100.0
llama2-7b-cpu,phi-latest-cpu,100.0
llama2-7b-cpu,llama2-latest-cpu,100.0
gemma2-9b-cpu,phi-latest-cpu,100.0
stablelm-zephyr-3b-cpu,phi-latest-cpu,100.0
llava-phi3-latest-cpu,phi-latest-cpu,100.0
z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,phi-latest-cpu,100.0
qwen2.5-1.5b-cpu,phi-latest-cpu,100.0
qwen-7b-cpu,phi-latest-cpu,100.0
dolphin3-8b-cpu,phi-latest-cpu,100.0
llava-7b-cpu,phi-latest-cpu,100.0
smollm2-360m-cpu,phi-latest-cpu,100.0
notus-latest-cpu,phi-latest-cpu,100.0
llama3-chatqa-8b-cpu,phi-latest-cpu,100.0
phi-latest-cpu,qwen2-7b-cpu,100.0
phi-latest-cpu,orca-mini-3b-cpu,100.0
phi-latest-cpu,gemma-7b-cpu,100.0
phi-latest-cpu,moondream-v2-cpu,100.0
phi-latest-cpu,orca-mini-latest-cpu,100.0
phi-latest-cpu,llama2-latest-cpu,100.0
phi-latest-cpu,minicpm-v-8b-cpu,100.0
phi-latest-cpu,phi4-14b-cpu,100.0
phi-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,100.0
phi-latest-cpu,llama3.1-8b-cpu,100.0
phi-latest-cpu,qwen-4b-cpu,100.0
phi-latest-cpu,medllama2-latest-cpu,100.0
phi-latest-cpu,mistral-7b-instruct-cpu,100.0
phi-latest-cpu,moondream-1.8b-cpu,100.0
phi-latest-cpu,qwen2.5-7b-cpu,100.0
phi-latest-cpu,qwen-0.5b-cpu,100.0
phi-latest-cpu,dolphin-llama3-8b-cpu,100.0
phi-latest-cpu,phi4-mini-3.8b-cpu,100.0
phi-latest-cpu,llama3-8b-cpu,100.0
phi-latest-cpu,gemma3-12b-cpu,100.0
phi-latest-cpu,wizardlm2-7b-cpu,100.0
phi-latest-cpu,deepseek-r1-8b-cpu,100.0
phi-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,100.0
phi-latest-cpu,qwen3-0.6b-cpu,100.0
phi-latest-cpu,gemma3-4b-cpu,100.0
phi-latest-cpu,mistral-nemo-12b-cpu,100.0
phi-latest-cpu,neural-chat-latest-cpu,100.0
phi-latest-cpu,dolphin3-latest-cpu,100.0
moondream-v2-cpu,moondream-1.8b-cpu,100.0
llama3.1-8b-cpu,llama3-8b-cpu,100.0
