Model,Fairness_Score,Rank
phi4-mini-3.8b-cpu,100.0,1
gemma3-12b-cpu,99.9962575414446,2
gemma3-1b-cpu,99.98941499184401,3
llama3-8b-cpu,99.98746141645849,4
gemma2-2b-cpu,97.89263366419955,5
gemma3-4b-cpu,93.30399314997146,6
mistral-7b-instruct-cpu,93.13909610263914,7
qwen3-0.6b-cpu,92.26084008457515,8
phi4-14b-cpu,91.05310032998324,9
stablelm-zephyr-3b-cpu,90.48460083764996,10
tinyllama-latest-cpu,89.22990262411868,11
qwen2-1.5b-cpu,88.82102699511877,12
deepseek-r1-1.5b-cpu,86.9361157116243,13
qwen2-0.5b-cpu,84.51317198428112,14
falcon-7b-cpu,82.38458117571172,15
llama2-latest-cpu,79.87595585738815,16
deepseek-r1-7b-cpu,74.46912447324911,17
llama3.2-3b-cpu,64.93091806270961,18
gemma-2b-cpu,51.54246377416597,19
llama3.2-1b-cpu,6.627069650126458,20
