Specialty,Score Type,Total Questions,Difficulty,phi4-latest-cpu,qwen2.5-14b-cpu,qwen2.5-7b-cpu,qwen3-8b-cpu,llama3.1-8b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,Elixpo_LlamaMedicine-latest-cpu,gemma3-12b-cpu,dolphin3-latest-cpu,qwen3-4b-cpu,phi4-14b-cpu,qwen3-1.7b-cpu,notus-latest-cpu,gemma2-9b-cpu,zephyr-7b-cpu,qwen2.5-1.5b-cpu,mistral-nemo-12b-cpu,llama-pro-latest-cpu,qwen2-7b-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,qwen2.5-3b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,qwen-4b-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,deepseek-r1-8b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,orca-mini-3b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,qwen2.5-0.5b-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu
All Specialties,General,1001,All,90.5%,85.7%,84.0%,83.0%,82.4%,81.8%,80.8%,79.9%,74.2%,73.9%,73.9%,73.4%,72.0%,70.7%,70.4%,69.6%,68.5%,68.0%,67.9%,67.3%,67.0%,66.6%,66.4%,66.3%,65.9%,65.9%,65.1%,64.4%,64.2%,64.0%,63.7%,62.8%,62.7%,62.4%,62.4%,62.4%,62.2%,61.7%,61.6%,60.9%,60.8%,60.0%,59.4%,58.7%,55.9%,55.6%,51.2%,50.8%,50.5%,50.4%,50.2%,50.0%,48.9%,48.8%,48.4%,47.4%,46.4%,46.0%,45.9%,45.4%,45.1%,44.4%,44.3%,42.8%,40.3%,37.4%,35.2%,33.0%,32.6%,31.5%,31.5%,31.2%,30.2%,30.2%,29.7%,27.4%,25.1%,25.0%,23.9%,16.9%,13.9%,11.1%,7.4%,6.7%,5.2%,4.5%
All Specialties,Vital,368,All,89.4%,90.0%,81.8%,74.0%,74.5%,76.4%,70.1%,70.7%,53.0%,66.6%,56.8%,64.9%,74.3%,51.6%,65.7%,71.2%,51.5%,59.2%,48.2%,54.4%,48.4%,55.7%,48.0%,60.5%,80.2%,44.8%,43.5%,67.4%,40.1%,43.0%,57.6%,38.9%,36.2%,38.7%,42.0%,36.7%,56.2%,52.5%,38.4%,63.3%,40.8%,48.9%,62.8%,57.6%,38.2%,29.8%,18.6%,24.5%,16.9%,35.1%,16.4%,46.6%,40.5%,25.0%,48.9%,48.6%,38.9%,60.6%,37.6%,28.9%,58.5%,23.8%,45.7%,16.7%,17.7%,49.1%,22.2%,46.8%,28.1%,29.0%,27.6%,15.8%,42.9%,42.9%,17.4%,21.5%,22.0%,23.8%,15.5%,15.5%,11.9%,8.1%,8.1%,6.2%,5.3%,3.6%
Cardiology,General,29,All,100.0%,86.5%,76.2%,85.7%,95.2%,100.0%,63.3%,90.0%,90.5%,95.2%,66.7%,76.2%,0.0%,70.0%,0.0%,57.1%,63.3%,71.4%,73.3%,70.0%,70.0%,60.0%,60.0%,0.0%,66.7%,66.7%,63.3%,0.0%,63.3%,60.0%,0.0%,60.0%,66.7%,66.7%,63.3%,56.7%,0.0%,53.3%,66.7%,0.0%,50.0%,61.9%,0.0%,0.0%,46.7%,56.7%,50.0%,42.9%,53.3%,60.0%,50.0%,46.7%,0.0%,50.0%,40.0%,0.0%,63.3%,52.4%,0.0%,43.3%,30.0%,40.0%,0.0%,46.7%,50.0%,36.7%,56.7%,26.7%,0.0%,0.0%,0.0%,10.0%,23.8%,23.8%,33.3%,46.7%,0.0%,0.0%,20.0%,16.7%,0.0%,6.7%,0.0%,0.0%,70.0%,10.0%
Cardiology,Vital,20,All,100.0%,85.0%,83.3%,75.0%,91.7%,100.0%,52.4%,85.7%,83.3%,91.7%,57.1%,66.7%,0.0%,57.1%,0.0%,58.3%,47.6%,83.3%,61.9%,61.9%,57.1%,57.1%,47.6%,0.0%,66.7%,52.4%,52.4%,0.0%,47.6%,52.4%,0.0%,47.6%,57.1%,57.1%,52.4%,47.6%,0.0%,42.9%,52.4%,0.0%,38.1%,75.0%,0.0%,0.0%,42.9%,47.6%,38.1%,33.3%,42.9%,52.4%,38.1%,38.1%,0.0%,42.9%,47.6%,0.0%,47.6%,58.3%,0.0%,33.3%,38.1%,33.3%,0.0%,38.1%,33.3%,38.1%,38.1%,28.6%,0.0%,0.0%,0.0%,4.8%,16.7%,16.7%,28.6%,38.1%,0.0%,0.0%,19.0%,19.0%,0.0%,4.8%,0.0%,0.0%,57.1%,9.5%
Cardiology,General,20,Easy,100.0%,86.5%,76.2%,85.7%,95.2%,100.0%,85.7%,100.0%,90.5%,95.2%,95.2%,76.2%,0.0%,100.0%,0.0%,57.1%,90.5%,71.4%,100.0%,85.7%,100.0%,71.4%,85.7%,0.0%,66.7%,95.2%,85.7%,0.0%,90.5%,81.0%,0.0%,81.0%,95.2%,81.0%,85.7%,81.0%,0.0%,76.2%,95.2%,0.0%,71.4%,61.9%,0.0%,0.0%,57.1%,71.4%,71.4%,42.9%,71.4%,81.0%,71.4%,61.9%,0.0%,66.7%,33.3%,0.0%,90.5%,52.4%,0.0%,61.9%,28.6%,52.4%,0.0%,66.7%,71.4%,52.4%,81.0%,23.8%,0.0%,0.0%,0.0%,14.3%,23.8%,23.8%,42.9%,57.1%,0.0%,0.0%,28.6%,14.3%,0.0%,9.5%,0.0%,0.0%,100.0%,9.5%
Cardiology,Vital,11,Easy,100.0%,85.0%,83.3%,75.0%,91.7%,100.0%,83.3%,100.0%,83.3%,91.7%,100.0%,66.7%,0.0%,100.0%,0.0%,58.3%,83.3%,83.3%,100.0%,83.3%,100.0%,75.0%,83.3%,0.0%,66.7%,91.7%,83.3%,0.0%,83.3%,83.3%,0.0%,75.0%,100.0%,75.0%,83.3%,83.3%,0.0%,75.0%,91.7%,0.0%,66.7%,75.0%,0.0%,0.0%,58.3%,66.7%,66.7%,33.3%,66.7%,83.3%,66.7%,58.3%,0.0%,66.7%,41.7%,0.0%,83.3%,58.3%,0.0%,58.3%,41.7%,50.0%,0.0%,66.7%,58.3%,66.7%,66.7%,25.0%,0.0%,0.0%,0.0%,8.3%,16.7%,16.7%,41.7%,50.0%,0.0%,0.0%,33.3%,16.7%,0.0%,8.3%,0.0%,0.0%,100.0%,8.3%
Cardiology,General,9,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,66.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,22.2%,0.0%,0.0%,11.1%,11.1%,0.0%,11.1%,0.0%,11.1%,55.6%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,22.2%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%
Cardiology,Vital,9,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,66.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,22.2%,0.0%,0.0%,11.1%,11.1%,0.0%,11.1%,0.0%,11.1%,55.6%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,22.2%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%
Dermatology,General,29,All,95.0%,95.0%,100.0%,100.0%,95.0%,100.0%,65.5%,96.6%,90.0%,95.0%,65.5%,100.0%,0.0%,69.0%,0.0%,85.0%,82.8%,80.0%,72.4%,79.3%,69.0%,79.3%,82.8%,0.0%,70.0%,82.8%,79.3%,0.0%,72.4%,86.2%,0.0%,72.4%,75.9%,69.0%,72.4%,65.5%,0.0%,72.4%,69.0%,0.0%,72.4%,95.0%,0.0%,0.0%,65.5%,62.1%,55.2%,55.0%,55.2%,69.0%,55.2%,55.2%,0.0%,55.2%,62.1%,0.0%,62.1%,30.0%,0.0%,51.7%,51.7%,41.4%,0.0%,44.8%,37.9%,17.2%,31.0%,20.7%,0.0%,0.0%,0.0%,41.4%,20.0%,20.0%,34.5%,31.0%,0.0%,0.0%,24.1%,24.1%,0.0%,6.9%,0.0%,0.0%,0.0%,3.4%
Dermatology,Vital,13,All,75.0%,100.0%,100.0%,100.0%,75.0%,100.0%,23.1%,92.3%,50.0%,75.0%,23.1%,100.0%,0.0%,30.8%,0.0%,75.0%,61.5%,25.0%,38.5%,61.5%,38.5%,61.5%,61.5%,0.0%,100.0%,61.5%,53.8%,0.0%,38.5%,69.2%,0.0%,38.5%,46.2%,30.8%,38.5%,23.1%,0.0%,46.2%,30.8%,0.0%,38.5%,75.0%,0.0%,0.0%,38.5%,23.1%,0.0%,0.0%,0.0%,38.5%,0.0%,23.1%,0.0%,15.4%,61.5%,0.0%,30.8%,50.0%,0.0%,15.4%,92.3%,7.7%,0.0%,0.0%,0.0%,30.8%,7.7%,30.8%,0.0%,0.0%,0.0%,7.7%,50.0%,50.0%,0.0%,30.8%,0.0%,0.0%,7.7%,23.1%,0.0%,0.0%,0.0%,0.0%,0.0%,7.7%
